MillisecondsPerFrame: 1.0
END OF HEADER
0.000000 76.203209 .sil
76.203209 320.187164 las
320.187164 1079.545410 intervenciones
1079.545410 1247.994629 ma_7s
1247.994629 2148.395752 solicitadas
2148.395752 2316.844971 son
2316.844971 2433.823486 la
2433.823486 3237.968018 liposuccio_7n
3237.968018 3338.235352 y
3338.235352 3464.572266 el
3464.572266 3949.866211 implante
3949.866211 4032.085449 de
4032.085449 4541.443848 pro_7tesis
4541.443848 5276.069336 mamarias
5276.069336 5360.272109 .sil
