MillisecondsPerFrame: 1.0
END OF HEADER
0.000000 76.203209 .sil
76.203209 151.069519 l
151.069519 230.614975 a
230.614975 320.187164 s
320.187164 375.668457 i
375.668457 435.160431 -N
435.160431 461.898407 t_c
461.898407 484.119904 t
484.119904 519.385010 e
519.385010 566.844910 -R
566.844910 617.647034 V
617.647034 690.507996 e_7
690.507996 739.304810 -N
739.304810 817.513367 s
817.513367 865.641724 j
865.641724 899.732605 o
899.732605 952.540100 n
952.540100 1029.411743 e
1029.411743 1079.545410 s
1079.545410 1166.443848 m
1166.443848 1247.994629 a_7
1247.994629 1336.229980 s
1336.229980 1391.711182 o
1391.711182 1456.550781 l
1456.550781 1517.379639 i
1517.379639 1608.288818 s
1608.288818 1679.144409 i
1679.144409 1722.593628 t_c
1722.593628 1752.005371 t
1752.005371 1852.272705 a_7
1852.272705 1909.759399 D
1909.759399 2021.390381 a
2021.390381 2148.395752 s
2148.395752 2205.882324 s
2205.882324 2270.721924 o
2270.721924 2316.844971 -N
2316.844971 2367.646973 l
2367.646973 2433.823486 a
2433.823486 2495.989258 l
2495.989258 2566.176514 i
2566.176514 2639.037354 p_c
2639.037354 2657.753906 p
2657.753906 2713.235352 o
2713.235352 2802.138916 s
2802.138916 2873.663086 u
2873.663086 2911.096191 -G
2911.096191 3031.416992 s
3031.416992 3078.208496 j
3078.208496 3163.101563 o_7
3163.101563 3237.968018 n
3237.968018 3338.235352 j
3338.235352 3411.764648 e
3411.764648 3464.572266 l
3464.572266 3516.711182 i
3516.711182 3597.593506 -N
3597.593506 3635.695068 p_c
3635.695068 3648.395752 p
3648.395752 3677.138916 l
3677.138916 3764.037354 a_7
3764.037354 3820.187256 -N
3820.187256 3833.556152 t_c
3833.556152 3856.951904 t
3856.951904 3949.866211 e
3949.866211 3983.288818 D
3983.288818 4032.085449 e
4032.085449 4097.593750 p_c
4097.593750 4119.652344 p
4119.652344 4161.096191 r(
4161.096191 4228.609863 o_7
4228.609863 4284.090820 t_c
4284.090820 4302.139160 t
4302.139160 4368.983887 e
4368.983887 4447.192383 s
4447.192383 4497.994629 i
4497.994629 4541.443848 s
4541.443848 4620.320801 m
4620.320801 4672.459961 a
4672.459961 4758.689941 m
4758.689941 4830.882324 a_7
4830.882324 4871.657715 r(
4871.657715 4969.919922 j
4969.919922 5090.240723 a
5090.240723 5276.069336 s
5276.069336 5360.272109 .sil
