MillisecondsPerFrame: 1.0
END OF HEADER
0.000000 59.491978 .sil
59.491978 91.577538 p_c
91.577538 105.614975 p
105.614975 170.454544 e_7
170.454544 230.614975 r(
230.614975 291.443848 o
291.443848 372.994659 n
372.994659 451.871643 o
451.871643 558.823547 s
558.823547 622.326233 o_7
622.326233 651.737976 -R
651.737976 696.524048 l
696.524048 750.000000 o
750.000000 808.823547 a
808.823547 885.026733 m
885.026733 931.818176 e
931.818176 968.582886 r(
968.582886 1051.470581 i_7
1051.470581 1091.577515 k_c
1091.577515 1112.299438 k
1112.299438 1175.802124 a
1175.802124 1233.288818 l
1233.288818 1329.545410 a
1329.545410 1377.005371 t_c
1377.005371 1391.711182 t
1391.711182 1465.240601 i
1465.240601 1533.422485 n
1533.422485 1601.604248 e
1601.604248 1687.834229 e
1687.834229 1757.352905 s
1757.352905 1794.786133 t_c
1794.786133 1812.834229 t
1812.834229 1853.609619 a_7
1853.609619 1893.716553 e
1893.716553 1961.229980 -N
1961.229980 2008.021362 k_c
2008.021362 2024.064209 k
2024.064209 2076.871582 r(
2076.871582 2166.443848 i_7
2166.443848 2279.411865 s
2279.411865 2350.267334 i
2350.267334 2647.727295 s
2647.727295 2733.945557 .sil
