MillisecondsPerFrame: 1.0
END OF HEADER
0.000000 88.235291 .sil
88.235291 158.422455 k_c
158.422455 184.491974 k
184.491974 238.636368 o_7
238.636368 298.796783 -N
298.796783 324.197876 V
324.197876 370.989319 e
370.989319 425.802124 -N
425.802124 515.374329 s
515.374329 545.454529 i
545.454529 591.577515 o
591.577515 624.331543 -N
624.331543 694.518738 s
694.518738 754.010681 o_7
754.010681 782.754028 V
782.754028 815.507996 r(
815.507996 868.315491 e
868.315491 923.128357 l
923.128357 973.930481 k_c
973.930481 993.315491 k
993.315491 1032.754028 o
1032.754028 1093.582886 m
1093.582886 1147.058838 e_7
1147.058838 1192.513428 -R
1192.513428 1274.732666 s
1274.732666 1312.834229 i
1312.834229 1352.272705 -N
1352.272705 1387.700562 t_c
1387.700562 1405.080200 t
1405.080200 1437.834229 e_7
1437.834229 1462.566895 -R
1462.566895 1527.406372 n
1527.406372 1587.566895 a
1587.566895 1687.165771 s
1687.165771 1722.593628 e
1722.593628 1792.780762 n
1792.780762 1862.967896 a
1862.967896 1937.165771 l
1937.165771 1961.229980 D
1961.229980 2003.342285 e
2003.342285 2061.497314 s
2061.497314 2130.347656 p_c
2130.347656 2143.048096 p
2143.048096 2199.866211 e_7
2199.866211 2264.705811 s
2264.705811 2314.171143 e
2314.171143 2392.379639 s
2392.379639 2435.828857 a
2435.828857 2518.048096 m
2518.048096 2543.449219 e
2543.449219 2595.588135 n
2595.588135 2655.080322 a
2655.080322 2747.326172 s
2747.326172 2844.228027 a_7
2844.228027 2883.689941 D
2883.689941 2971.256592 a
2971.256592 3035.427734 s
3035.427734 3064.839600 D
3064.839600 3133.689941 e
3133.689941 3225.343018 f
3225.343018 3315.815674 a_7
3315.815674 3395.053467 w
3395.053467 3445.855713 n
3445.855713 3479.278076 e
3479.278076 3546.791504 j
3546.791504 3663.770020 f
3663.770020 3683.155029 l
3683.155029 3746.657715 o
3746.657715 3785.427734 r(
3785.427734 3847.593506 a
3847.593506 3939.171143 s
3939.171143 3969.919678 i
3969.919678 4020.721924 l
4020.721924 4081.550781 V
4081.550781 4143.716797 e_7
4143.716797 4225.936035 s
4225.936035 4266.042969 t_c
4266.042969 4294.786133 t
4294.786133 4469.251465 -R
4469.251465 4552.131348 .sil
